('sid', 'name', 'tel', 'wifi')
('1', '海景門市', '02-2428-4223', 'Y')
('2', '新世界門市', '02-2371-7092', '')
('3', '寶平門市', '02-2331-0388', 'Y')
('4', '羅斯福門市', '02-2364-6845', 'Y')
('5', '懷寧門市', '02-2389-3776', 'Y')
('6', '舊宗門市', '02-8792-8408', 'Y')
('7', '聯合門市', '02-2749-5657', 'Y')
('8', '環亞門市', '02-8712-0625', 'Y')
('9', '環山門市', '02-2799-5897', 'N')
('10', '龍權門市', '02-2517-9259', 'Y')
('11', '龍門門市', '02-2740-6782', 'Y')
('12', '興南門市', '02-2325-9473', 'Y')
('13', '興北門市', '02-2712-8189', 'Y')
('14', '德復門市', '2578-8732', 'Y')
('15', '漢中門市', '02-2370-5893', 'Y')
('16', '實踐門市', '02-2532-5223', 'Y')
('17', '鼎豐門市', '2773-7207', 'Y')
('18', '萬芳門市', '02-2933-6950', 'Y')
('19', '瑞傳門市', '02-8798-3266', 'Y')
('20', '瑞光門市', '02-2659-3912', 'Y')
('21', '新光門市', '02-8789-4099', 'N')
('22', '新天母門市', '02-2876-9351', 'N')
('23', '陽明山門市', '02-2861-0399', 'Y')
('24', '華視門市', '02-8771-9692', 'Y')
('25', '港墘門市', '02-8753-5105', 'Y')
('26', '敦富門市', '02-2707-4198', 'Y')
('27', '敦南門市', '02-2754-9460', 'Y')
('28', '敦信門市', '02-2702-2443', 'N')
('29', '敦化門市', '02-2718-2750', 'Y')
('30', '復安門市', '(02)2775-1187', 'N')
('31', '許昌門市', '02-2389-9086', 'Y')
('32', '統豐門市', '02-2746-6635', 'Y')
('33', '統誠門市', '02-2723-2086', 'Y')
('34', '捷運門市', '02-2375-9066', 'N')
('35', '康寧門市', '02-2633-1621', 'Y')
('36', '興和門市', '227019918', 'Y')
('37', '微風門市及微廣門市', '02-8772-2208', 'N')
('38', '常德門市', '02-2381-1771', 'N')
('39', '崇興門市', '02-8772-5940', 'N')
('40', '崇光門市', '02-2771-2826', 'N')
('41', '國醫門市', '02-8791-8095', 'N')
